book_name,author,genres_list,pages_format,first_published_year,rating,ratings_count,score,votes,book_url
Matilda,Roald Dahl,"['Fiction', 'Childrens', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Audiobook']","240 pages, Hardcover",1988, 4.33 avg rating,"1,101,699 ratings","score: 511,271","5,638 people voted",https://www.goodreads.com/book/show/39988.Matilda
Water for Elephants,Sara Gruen,"['Fiction', 'Historical Fiction', 'Romance', 'Book Club', 'Historical', 'Adult', 'Adult Fiction']","368 pages, Paperback",2006, 4.11 avg rating,"1,695,654 ratings","score: 505,285","5,451 people voted",https://www.goodreads.com/book/show/43641.Water_for_Elephants
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Harry Potter', 'Magic', 'Childrens', 'Audiobook']","333 pages, Kindle Edition",1997, 4.47 avg rating,"11,324,147 ratings","score: 482,822","5,097 people voted",https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
The Stand,Stephen  King,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia']","1152 pages, Hardcover",1978, 4.35 avg rating,"831,082 ratings","score: 460,188","4,970 people voted",https://www.goodreads.com/book/show/149267.The_Stand
Catch-22,Joseph Heller,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']","453 pages, Paperback",1961, 3.99 avg rating,"884,156 ratings","score: 455,482","4,968 people voted",https://www.goodreads.com/book/show/168668.Catch_22
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Audiobook']","389 pages, Paperback",1892, 4.30 avg rating,"325,136 ratings","score: 445,213","4,975 people voted",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Audiobook', 'Medieval']","976 pages, Paperback",1989, 4.35 avg rating,"825,943 ratings","score: 438,333","4,718 people voted",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
Rebecca,Daphne du Maurier,"['Classics', 'Fiction', 'Mystery', 'Gothic', 'Romance', 'Book Club', 'Thriller']","449 pages, Kindle Edition",1938, 4.25 avg rating,"715,090 ratings","score: 431,436","4,804 people voted",https://www.goodreads.com/book/show/17899948-rebecca
"Watership Down (Watership Down, #1)",Richard  Adams,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Adventure', 'Childrens']","478 pages, Mass Market Paperback",1972, 4.09 avg rating,"504,470 ratings","score: 427,267","4,672 people voted",https://www.goodreads.com/book/show/76620.Watership_Down
The Color Purple,Alice Walker,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'Queer']","287 pages, Paperback",1982, 4.28 avg rating,"749,358 ratings","score: 414,822","4,668 people voted",https://www.goodreads.com/book/show/52892857-the-color-purple
Great Expectations,Charles Dickens,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', 'Classic Literature']","544 pages, Paperback",1861, 3.80 avg rating,"870,370 ratings","score: 414,777","4,756 people voted",https://www.goodreads.com/book/show/2623.Great_Expectations
"Outlander (Outlander, #1)",Diana Gabaldon,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']","850 pages, Mass Market Paperback",1991, 4.26 avg rating,"1,148,294 ratings","score: 409,857","4,390 people voted",https://www.goodreads.com/book/show/10964.Outlander
Anna Karenina,Leo Tolstoy,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature']","964 pages, Paperback",1878, 4.10 avg rating,"925,993 ratings","score: 403,287","4,415 people voted",https://www.goodreads.com/book/show/15823480-anna-karenina
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Audiobook', 'High Fantasy', 'Epic Fantasy']","432 pages, Kindle Edition",1954, 4.41 avg rating,"3,127,718 ratings","score: 397,062","4,379 people voted",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
One Flew Over the Cuckoo’s Nest,Ken Kesey,"['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']","325 pages, Mass Market Paperback",1962, 4.20 avg rating,"777,718 ratings","score: 391,549","4,428 people voted",https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
The Brothers Karamazov,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russia', 'Philosophy', 'Russian Literature', 'Literature', 'Novels']","796 pages, Paperback",1880, 4.39 avg rating,"383,159 ratings","score: 378,592","4,159 people voted",https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
My Sister's Keeper,Jodi Picoult,"['Fiction', 'Contemporary', 'Book Club', 'Chick Lit', 'Young Adult', 'Drama', 'Adult']","423 pages, Paperback",2004, 4.11 avg rating,"1,272,459 ratings","score: 377,642","4,154 people voted",https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
A Clockwork Orange,Anthony Burgess,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Horror', 'Literature', 'Novels']","240 pages, Paperback",1962,really liked it 4.00 avg rating,"766,528 ratings","score: 375,454","4,219 people voted",https://www.goodreads.com/book/show/41817486-a-clockwork-orange
To Kill a Mockingbird,Harper Lee,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']","323 pages, Paperback",1960, 4.26 avg rating,"6,833,106 ratings","score: 362,878","3,933 people voted",https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird
